movie_id,title,budget,budget_log,revenue_usd,release_year,release_month,is_action,is_comedy,is_drama,is_horror,is_sciencefiction,is_animation,is_romance,is_thriller,num_genres,primary_genre,director_name,lead_actor,director_avg_past_rating,lead_actor_avg_rating,sidecast_avg_rating,genre_trend_score,imdb_rating
10537,The Doors,38000000,17.453096744006448,34416893,1991,3,0,0,1,0,0,0,0,0,2,Drama,Oliver Stone,Val Kilmer,6.975,6.7,7.1000000000000005,3804781.186079547,6.7
1598,Cape Fear,35000000,17.370858648025116,182300000,1991,11,0,0,0,0,0,0,0,1,2,Crime,Martin Scorsese,Robert De Niro,7.466666666666666,7.75,6.550000000000001,101973477.64444445,7.0
879,Hook,70000000,18.064005814299346,300854823,1991,12,0,1,0,0,0,0,0,0,4,Adventure,Steven Spielberg,Robin Williams,7.1000000000000005,7.466666666666666,6.637499999999999,92387750.97292417,6.6
820,JFK,40000000,17.50439003707821,205405498,1991,12,0,0,1,0,0,0,0,1,3,Drama,Oliver Stone,Kevin Costner,6.92,7.266666666666666,7.095833333333333,3804781.186079547,7.5
2687,Memoirs of an Invisible Man,40000000,17.50439003707821,14358033,1992,2,0,1,0,0,1,0,0,0,3,Comedy,John Carpenter,Chevy Chase,7.116666666666667,6.2,7.1,27020724.383092552,5.7
943,Lethal Weapon 3,35000000,17.370858648025116,321731527,1992,5,1,1,0,0,0,0,0,1,5,Adventure,Richard Donner,Mel Gibson,6.875,6.574999999999999,6.991666666666667,68444912.47292417,6.4
364,Batman Returns,80000000,18.197537205138154,280000000,1992,6,1,0,0,0,0,0,0,0,2,Action,Tim Burton,Michael Keaton,7.2,7.05,6.9783333333333335,-39404778.70035462,6.6
9374,Death Becomes Her,55000000,17.822843761378564,149022650,1992,7,0,1,0,0,0,0,0,0,2,Fantasy,Robert Zemeckis,Meryl Streep,7.5,7.4,6.5,-41828949.964705884,6.3
13937,Raising Cain,12000000,16.300417291085605,37170057,1992,8,0,0,1,1,0,0,0,1,4,Drama,Brian De Palma,John Lithgow,7.220000000000001,6.633333333333333,7.2,26707061.586079553,5.9
33,Unforgiven,14000000,16.454567959008102,159157447,1992,8,0,0,0,0,0,0,0,0,1,Western,Clint Eastwood,Clint Eastwood,6.45,6.6,6.510000000000001,90074423.05263157,7.7
6114,Dracula,40000000,17.50439003707821,215862692,1992,11,0,0,0,1,0,0,1,0,2,Romance,Francis Ford Coppola,Gary Oldman,7.3375,7.5,6.762499999999999,38304921.67647059,7.1
881,A Few Good Men,40000000,17.50439003707821,243240178,1992,12,0,0,1,0,0,0,0,0,1,Drama,Rob Reiner,Tom Cruise,7.566666666666666,6.3500000000000005,7.066666666666666,26707061.586079553,7.1
9350,Cliffhanger,70000000,18.064005814299346,255000211,1993,5,1,0,0,0,0,0,0,1,3,Action,Renny Harlin,Sylvester Stallone,6.325,6.437500000000001,6.716666666666666,-121585372.30641523,6.1
329,Jurassic Park,63000000,17.958645300228824,920100000,1993,6,0,0,0,0,1,0,0,0,2,Adventure,Steven Spielberg,Sam Neill,7.05,6.666666666666667,7.8,36285183.47292417,7.6
319,True Romance,12500000,16.341239282272525,12281551,1993,9,1,0,0,0,0,0,1,1,4,Action,Tony Scott,Christian Slater,6.233333333333334,6.6,6.25,-121585372.30641523,7.5
10436,The Age of Innocence,34000000,17.341871111992198,32255440,1993,9,0,0,1,0,0,0,1,0,2,Drama,Martin Scorsese,Daniel Day-Lewis,7.3999999999999995,6.733333333333333,7.2444444444444445,46667420.58607955,7.0
13,Forrest Gump,55000000,17.822843761378564,677945399,1994,7,0,1,1,0,0,0,1,0,3,Comedy,Robert Zemeckis,Tom Hanks,7.2,6.824999999999999,7.3,54443890.24975921,8.2
